week,date,date_end,title,deadline,content,assignment,note
1,1/10/24,,Introduction,,content/01-intro,,
1,1/12/24,,Reading political science,,,,
2,1/15/24,,NO CLASS. MLK Day.,,,,
2,1/17/24,,Latino/a/e/x Identity,,content/02-latino-identity,,
2,1/19/24,,Latino/a/e/x Identity,,,,
3,1/22/24,,Politicized Identities,,content/03-politicized-identities,,
3,1/24/24,,Politicized Identities,,,,
3,1/26/24,,Politicized Identities,,,,
4,1/29/24,,Latine Partisanship and Opinion,,content/04-partisanship-opinion,,
4,1/31/24,,Latine Partisanship and Opinion,,,,
4,2/2/24,,Latine Partisanship and Opinion,,,,
5,2/5/24,,Latine Partisanship and Opinion,,,,
5,2/7/24,,Latine Participation,,content/05-participation,,
5,2/9/24,,Latine Participation,,,,
6,2/12/24,,Campaign memo workshop,,,,
6,2/14/24,,Latine Participation,,,,
6,2/16/24,,Campaign Memo Due,11:59 PM,,assignment/campaign-memo,
7,2/19/24,,Historical Context,,content/06-historical-context,,
7,2/21/24,,Historical Context,,,,
7,2/23/24,,Historical Context,,,,
8,2/26/24,,Latine Political Activism,,content/07-latino-activism,,
8,2/28/24,,Research question and literature workshop,,,,
8,3/1/24,,Research Question and List of Literature,11:59 PM,,assignment/research-question,
9,3/4/24,3/10/24,Journeys/Peak Week,,,,
10,3/11/24,3/17/24,Spring Break,,,,
11,3/18/24,,Literature review workshop,,,assignment/literature-review,
11,3/20/24,,Politics of Immigration,,content/08-immigration,,
11,3/22/24,,Politics of Immigration,,,,
12,3/25/24,,Politics of Immigration,,,,
12,3/27/24,,Politics of Immigration,,,,
12,3/29/24,,NO CLASS. Spring Holiday.,,,,
12,3/31/24,,Literature Review Due,11:59 PM,,assignment/literature-review,
13,4/1/24,,Representation,,content/09-representation,,
13,4/3/24,,Representation,,,,
13,4/5/24,,MPSA Conference. No in-person meeting.,,,,
14,4/8/24,,Latines in Recent Elections,,content/10-elections,,
14,4/10/24,,Latines in Recent Elections,,,,
14,4/12/24,,Theory and Research Design Due,11:59 PM,,assignment/research-design,
15,4/15/24,,Multiracial Coalitions?,,content/11-multiracial-coalitions,,
15,4/17/24,,Multiracial Coalitions?,,,,
15,4/19/24,,Multiracial Coalitions?,,,,
16,4/22/24,,Research Presentations,,,assignment/oral-presentation,
16,4/24/24,,Research Presentations,,,,
16,4/26/24,,Research Presentations,,,,
17,4/29/24,,Research Presentations,,,,
17,5/1/24,,Response paper due,5:00 PM,,assignment/response-paper,
18,5/7/24,,Final Draft of Research Design Due (for seniors),5:00 PM,,assignment/final-paper,
18,5/8/24,,Final Draft of Research Design Due (for non-seniors),5:00 PM,,assignment/final-paper,